pointid,grid_code,Latitude_DD,Longitude_DD
31665,-437,18.172610190000000,-64.758173450000001
31666,-447,18.172649600000000,-64.753862280000007
31667,-486,18.172688910000002,-64.749551109999999
32164,-668,18.168449660000000,-64.762443230000002
32165,-641,18.168489149999999,-64.758132180000004
32166,-642,18.168528540000001,-64.753821119999998
32167,-670,18.168567840000001,-64.749510040000004
32168,-727,18.168607040000001,-64.745198959999996
32649,-903,18.164289040000000,-64.766712819999995
32650,-906,18.164328619999999,-64.762401879999999
32651,-880,18.164368100000001,-64.758090920000001
32652,-857,18.164407489999999,-64.753779960000003
32653,-885,18.164446779999999,-64.749468989999997
32654,-942,18.164485970000001,-64.745158009999997
32655,-984,18.164525059999999,-64.740847009999996
33133,-1048,18.160168010000000,-64.766671369999997
33134,-1062,18.160207580000002,-64.762360529999995
33135,-1049,18.160247049999999,-64.758049679999999
33136,-1022,18.160286429999999,-64.753738819999995
33137,-1040,18.160325709999999,-64.749427949999998
33138,-1081,18.160364890000000,-64.745117059999998
33139,-1111,18.160403980000002,-64.740806169999999
33611,-1199,18.156046979999999,-64.766629929999993
33612,-1225,18.156086540000000,-64.762319189999999
33613,-1228,18.156126000000000,-64.758008450000005
33614,-1202,18.156165370000000,-64.753697689999996
33615,-1197,18.156204639999999,-64.749386909999998
33616,-1216,18.156243809999999,-64.745076130000001
33617,-1238,18.156282890000000,-64.740765339999996
34077,-1332,18.151925949999999,-64.766588510000005
34078,-1358,18.151965499999999,-64.762277870000005
34079,-1367,18.152004949999998,-64.757967219999998
34080,-1339,18.152044310000001,-64.753656559999996
34081,-1315,18.152083569999999,-64.749345890000001
34082,-1323,18.152122729999999,-64.745035209999998
34083,-1350,18.152161799999998,-64.740724520000001
34084,-1366,18.152200770000000,-64.736413819999996
34535,-1471,18.147844450000001,-64.762236560000005
34536,-1475,18.147883900000000,-64.757926010000006
34537,-1447,18.147923240000001,-64.753615449999998
34538,-1412,18.147962490000001,-64.749304879999997
34539,-1414,18.148001650000001,-64.744994300000002
34540,-1441,18.148040699999999,-64.740683709999999
34541,-1463,18.148079670000001,-64.736373110000002
34988,-1578,18.143723410000000,-64.762195259999999
34989,-1567,18.143762840000001,-64.757884809999993
34990,-1539,18.143802180000002,-64.753574349999994
34991,-1504,18.143841420000001,-64.749263880000001
34992,-1504,18.143880559999999,-64.744953400000000
34993,-1523,18.143919610000001,-64.740642910000005
34994,-1543,18.143958560000002,-64.736332410000003
34995,-1562,18.143997420000002,-64.732021900000007
35440,-1640,18.139641780000002,-64.757843620000003
35441,-1614,18.139681110000001,-64.753533259999998
35442,-1590,18.139720340000000,-64.749222900000007
35443,-1588,18.139759479999999,-64.744912520000000
35444,-1596,18.139798509999999,-64.740602129999999
35445,-1603,18.139837459999999,-64.736291730000005
35446,-1619,18.139876300000001,-64.731981320000003
35891,-1702,18.135520719999999,-64.757802440000006
35892,-1682,18.135560040000001,-64.753492179999995
35893,-1666,18.135599259999999,-64.749181919999998
35894,-1652,18.135638390000000,-64.744871640000000
35895,-1645,18.135677420000000,-64.740561349999993
35896,-1640,18.135716349999999,-64.736251050000007
35897,-1653,18.135755190000001,-64.731940739999999
35898,-1684,18.135793929999998,-64.727630419999997
36345,-1747,18.131438970000001,-64.753451119999994
36346,-1725,18.131478179999998,-64.749140949999997
36347,-1698,18.131517299999999,-64.744830769999993
36348,-1680,18.131556320000001,-64.740520590000003
36349,-1666,18.131595239999999,-64.736210389999997
36350,-1672,18.131634070000000,-64.731900179999997
36351,-1710,18.131672800000000,-64.727589960000003
36808,-1811,18.127317900000001,-64.753410059999993
36809,-1775,18.127357100000001,-64.749099999999999
36810,-1741,18.127396210000001,-64.744789920000002
36811,-1716,18.127435219999999,-64.740479829999998
36812,-1701,18.127474130000000,-64.736169739999994
36813,-1698,18.127512950000000,-64.731859630000002
36814,-1727,18.127551669999999,-64.727549510000003
37273,-1824,18.123236009999999,-64.749059050000000
37274,-1787,18.123275110000002,-64.744749080000005
37275,-1762,18.123314109999999,-64.740439089999995
37276,-1752,18.123353020000000,-64.736129090000006
37277,-1748,18.123391819999998,-64.731819090000002
37278,-1760,18.123430540000001,-64.727509069999996
37745,-1866,18.119114929999999,-64.749018120000002
37746,-1830,18.119154020000000,-64.744708239999994
37747,-1814,18.119193010000000,-64.740398360000000
37748,-1810,18.119231899999999,-64.736088460000005
37749,-1809,18.119270700000001,-64.731778550000001
37750,-1817,18.119309399999999,-64.727468639999998
37751,-1859,18.119348010000000,-64.723158710000007
38221,-1910,18.114993840000000,-64.748977190000005
38222,-1873,18.115032920000001,-64.744667419999999
38223,-1860,18.115071900000000,-64.740357639999999
38224,-1861,18.115110779999998,-64.736047839999998
38225,-1871,18.115149570000000,-64.731738030000002
38226,-1887,18.115188270000001,-64.727428219999993
38227,-1925,18.115226860000000,-64.723118389999996
38697,-1972,18.110872749999999,-64.748936279999995
38698,-1941,18.110911819999998,-64.744626609999997
38699,-1924,18.110950790000000,-64.740316930000006
38700,-1919,18.110989669999999,-64.736007229999998
38701,-1933,18.111028449999999,-64.731697530000005
38702,-1958,18.111067129999999,-64.727387809999996
38703,-1989,18.111105720000001,-64.723078079999993
39175,-2052,18.106790719999999,-64.744585810000004
39176,-2023,18.106829680000001,-64.740276230000006
39177,-1987,18.106868550000002,-64.735966629999993
39178,-1993,18.106907320000001,-64.731657029999994
39179,-2017,18.106945990000000,-64.727347409999993
39180,-2040,18.106984570000002,-64.723037779999999
39663,-2158,18.102669610000000,-64.744545020000004
39664,-2103,18.102708570000001,-64.740235540000000
39665,-2043,18.102747420000000,-64.735926039999995
39666,-2044,18.102786179999999,-64.731616540000005
39667,-2069,18.102824850000001,-64.727307019999998
39668,-2094,18.102863419999998,-64.722997500000005
39669,-2121,18.102901889999998,-64.718687959999997
40161,-2237,18.098548510000001,-64.744504239999998
40162,-2159,18.098587450000000,-64.740194860000003
40163,-2095,18.098626299999999,-64.735885469999999
40164,-2092,18.098665050000001,-64.731576059999995
40165,-2118,18.098703709999999,-64.727266650000004
40166,-2149,18.098742269999999,-64.722957219999998
40167,-2189,18.098780730000001,-64.718647790000006
40665,-2300,18.094427400000001,-64.744463469999999
40666,-2214,18.094466340000000,-64.740154189999998
40667,-2154,18.094505170000001,-64.735844900000004
40668,-2142,18.094543920000000,-64.731535600000001
